matrix,method,error,improvement
G12,Deterministic SVD (rank=40),0.9277050134030111,0.0
G12,Weighted Ensemble (rank=40),0.9560661587986471,-3.057129689490572
G12,Optimized Hybrid (ratio=0.90),0.9485257358793,-2.2443257474608442
G12,Matrix-Adaptive (rank=40),0.9902819554408161,-6.745349128626564
G13,Deterministic SVD (rank=40),0.9256959480359688,0.0
G13,Weighted Ensemble (rank=40),0.9554122147010682,-3.2101541254607238
G13,Optimized Hybrid (ratio=0.90),0.9473028709723612,-2.3341274186449046
G13,Matrix-Adaptive (rank=40),1.0236362236759964,-10.580177632604485
G14,Deterministic SVD (rank=40),0.7785229933205559,0.0
G14,Weighted Ensemble (rank=40),0.9163096035454694,-17.698463809941718
G14,Optimized Hybrid (ratio=0.90),0.8419175064960915,-8.142921110800522
G14,Matrix-Adaptive (rank=40),29.172427277928783,-3647.1503768312045
G15,Deterministic SVD (rank=40),0.7741928431374634,0.0
G15,Weighted Ensemble (rank=40),0.915646367918988,-18.271096928289293
G15,Optimized Hybrid (ratio=0.90),0.8381132655593151,-8.256395417298139
G15,Matrix-Adaptive (rank=40),6.3471004796999555,-719.8345587874395
G2,Deterministic SVD (rank=40),0.8815786785184972,0.0
G2,Weighted Ensemble (rank=40),0.9282319464305316,-5.292014093448326
G2,Optimized Hybrid (ratio=0.90),0.91322480746622,-3.5897112440269603
G2,Matrix-Adaptive (rank=40),16.90090508064974,-1817.118175890086
G3,Deterministic SVD (rank=40),0.8819091279636786,0.0
G3,Weighted Ensemble (rank=40),0.9295103544128713,-5.397520553971768
G3,Optimized Hybrid (ratio=0.90),0.9137165979415033,-3.606660705652054
G3,Matrix-Adaptive (rank=40),14.379207522507889,-1530.4636233564527
G4,Deterministic SVD (rank=40),0.8818156973907122,0.0
G4,Weighted Ensemble (rank=40),0.9290298960800348,-5.354202565119809
G4,Optimized Hybrid (ratio=0.90),0.9135859821823636,-3.6028259516880397
G4,Matrix-Adaptive (rank=40),11.288234130138717,-1180.1126316463337
G5,Deterministic SVD (rank=40),0.8817628137957819,0.0
G5,Weighted Ensemble (rank=40),0.9298120021958158,-5.449219183239702
G5,Optimized Hybrid (ratio=0.90),0.9137362817048775,-3.6260848619207855
G5,Matrix-Adaptive (rank=40),34.2319132468594,-3782.213301726691
