matrix,method,rank,error,error_svd,improvement
G12,Weighted Ensemble,10,0.9891599971693154,0.9811948877242171,-0.8117764925959283
G12,Weighted Ensemble,20,0.9774008901162308,0.9631773850492176,-1.4767274738584513
G12,Weighted Ensemble,30,0.9667923768834754,0.9453282076625013,-2.2705520735542515
G12,Weighted Ensemble,40,0.9560661587986472,0.9277050134030111,-3.057129689490584
G12,Weighted Ensemble,50,0.9448875594482128,0.9101676991346292,-3.8146662803563065
G12,Weighted Ensemble,60,0.9339097922176424,0.8927848776205369,-4.606363260398423
G12,Weighted Ensemble,70,0.9226321043622968,0.8753619529248078,-5.400069226169515
G12,Weighted Ensemble,80,0.9112148484303798,0.8584595683202128,-6.1453424316063865
G12,Weighted Ensemble,90,0.8989577298182602,0.8415668956786178,-6.8195213517000255
G12,Weighted Ensemble,100,0.8868835887533381,0.8247181702753823,-7.537777233306021
G12,Hybrid SVD-Ensemble,10,0.9872429705168668,0.9811948877242171,-0.6163997456894214
G12,Hybrid SVD-Ensemble,20,0.9748536702420688,0.9631773850492176,-1.2122673740159082
G12,Hybrid SVD-Ensemble,30,0.9625796705725318,0.9453282076625013,-1.8249178190385302
G12,Hybrid SVD-Ensemble,40,0.9503127552842856,0.9277050134030111,-2.4369537250148783
G12,Hybrid SVD-Ensemble,50,0.938608730621484,0.9101676991346292,-3.1248122201980952
G12,Hybrid SVD-Ensemble,60,0.9274450816745502,0.8927848776205369,-3.8822570725425076
G12,Hybrid SVD-Ensemble,70,0.916349610801417,0.8753619529248078,-4.682366847183494
G12,Hybrid SVD-Ensemble,80,0.9049552101320316,0.8584595683202128,-5.416171422353534
G12,Hybrid SVD-Ensemble,90,0.8937920123513393,0.8415668956786178,-6.205699979513641
G12,Hybrid SVD-Ensemble,100,0.8826599328924837,0.8247181702753823,-7.0256439963913975
G12,Matrix-Adaptive,10,1.0091766445969703,0.9811948877242171,-2.8518041851659097
G12,Matrix-Adaptive,20,1.0063567234709982,0.9631773850492176,-4.483009992969701
G12,Matrix-Adaptive,30,0.9872321498687324,0.9453282076625013,-4.4327400649396065
G12,Matrix-Adaptive,40,0.9700719792510442,0.9277050134030111,-4.566857485508496
G12,Matrix-Adaptive,50,1.0278508309989305,0.9101676991346292,-12.929829522206974
G12,Matrix-Adaptive,60,1.0817323018380192,0.8927848776205369,-21.163824450193154
G12,Matrix-Adaptive,70,1.3282992525589,0.8753619529248078,-51.7428588392165
G12,Matrix-Adaptive,80,1.316426172513779,0.8584595683202128,-53.34748671852891
G12,Matrix-Adaptive,90,2.0525495642853664,0.8415668956786178,-143.89618636677048
G12,Matrix-Adaptive,100,2.1437935439350477,0.8247181702753823,-159.94256234456577
G13,Weighted Ensemble,10,0.989002022242624,0.9806061277435512,-0.8561943742277485
G13,Weighted Ensemble,20,0.9777205633513084,0.961921224474352,-1.6424774165462501
G13,Weighted Ensemble,30,0.9669539802906858,0.9436893662810674,-2.4652830519115256
G13,Weighted Ensemble,40,0.9554122147010682,0.9256959480359688,-3.2101541254607238
G13,Weighted Ensemble,50,0.9443913383762051,0.9079995615554542,-4.007906871497795
G13,Weighted Ensemble,60,0.933072880326076,0.8905703344909366,-4.772508603650554
G13,Weighted Ensemble,70,0.9214458746991055,0.8734064998335251,-5.5002309777562814
G13,Weighted Ensemble,80,0.909154827298409,0.8563312240441243,-6.168594787986249
G13,Weighted Ensemble,90,0.8973920547898783,0.8393488903384945,-6.9152607597987075
G13,Weighted Ensemble,100,0.8854730374212418,0.8224331134546634,-7.66505177567288
G13,Hybrid SVD-Ensemble,10,0.9870238349444104,0.9806061277435512,-0.6544632976776152
G13,Hybrid SVD-Ensemble,20,0.9743071579959712,0.961921224474352,-1.2876245171102843
G13,Hybrid SVD-Ensemble,30,0.9617537757112958,0.9436893662810674,-1.9142325934451807
G13,Hybrid SVD-Ensemble,40,0.9494932194591988,0.9256959480359688,-2.570743825088603
G13,Hybrid SVD-Ensemble,50,0.9376646117753664,0.9079995615554542,-3.2670775929774982
G13,Hybrid SVD-Ensemble,60,0.9257968674902496,0.8905703344909366,-3.955502629609711
G13,Hybrid SVD-Ensemble,70,0.9142464503232002,0.8734064998335251,-4.675938465933021
G13,Hybrid SVD-Ensemble,80,0.9027197923249586,0.8563312240441243,-5.417129140960063
G13,Hybrid SVD-Ensemble,90,0.8918075836196844,0.8393488903384945,-6.249927042857499
G13,Hybrid SVD-Ensemble,100,0.8807720623742034,0.8224331134546634,-7.093458174912831
G13,Matrix-Adaptive,10,0.9924891547126458,0.9806061277435512,-1.2118042742031752
G13,Matrix-Adaptive,20,1.0049688851316003,0.961921224474352,-4.475175259883882
G13,Matrix-Adaptive,30,0.9948583603058868,0.9436893662810674,-5.422228527006559
G13,Matrix-Adaptive,40,1.0086823801506186,0.9256959480359688,-8.9647613010212
G13,Matrix-Adaptive,50,1.014751046318804,0.9079995615554542,-11.756777126684792
G13,Matrix-Adaptive,60,1.2641042768039037,0.8905703344909366,-41.94322759768152
G13,Matrix-Adaptive,70,2.0180297771683464,0.8734064998335251,-131.052754651241
G13,Matrix-Adaptive,80,1.682061339918054,0.8563312240441243,-96.42648693508134
G13,Matrix-Adaptive,90,1.4062091042982583,0.8393488903384945,-67.53570779502182
G13,Matrix-Adaptive,100,6.842209160651222,0.8224331134546634,-731.94718801025
G14,Weighted Ensemble,10,0.970308142087759,0.9067967985596675,-7.00392233728341
G14,Weighted Ensemble,20,0.9533064004972424,0.8561916771389737,-11.342638097439176
G14,Weighted Ensemble,30,0.9370305024823916,0.8146695617871875,-15.019702028239996
G14,Weighted Ensemble,40,0.9163096035454694,0.7785229933205559,-17.698463809941718
G14,Weighted Ensemble,50,0.9013641692753522,0.7471046581577814,-20.647644133011514
G14,Weighted Ensemble,60,0.8840724798591933,0.7194690941081535,-22.878451221741567
G14,Weighted Ensemble,70,0.8689940323968606,0.6940591709149398,-25.20460341318072
G14,Weighted Ensemble,80,0.8519936688065052,0.6704068041560335,-27.086071251778097
G14,Weighted Ensemble,90,0.8378816794727417,0.6482969785142563,-29.243495996691035
G14,Weighted Ensemble,100,0.8241073704440766,0.6274247769191106,-31.347597474672707
